0.103	-0.154	0.033	4.300	-0.011	0.107	-0.100
0.113	-0.152	0.043	4.400	-0.012	0.108	-0.100
0.123	-0.149	0.053	4.500	-0.013	0.108	-0.100
0.132	-0.146	0.064	4.600	-0.015	0.109	-0.100
0.142	-0.143	0.075	4.700	-0.016	0.110	-0.100
0.151	-0.140	0.086	4.800	-0.017	0.110	-0.100
0.160	-0.136	0.097	4.900	-0.018	0.111	-0.100
0.169	-0.133	0.109	5.000	-0.019	0.112	-0.100
0.178	-0.129	0.120	5.100	-0.020	0.113	-0.100
0.186	-0.125	0.133	5.200	-0.021	0.113	-0.100
0.195	-0.121	0.145	5.300	-0.023	0.114	-0.100
0.203	-0.117	0.157	5.400	-0.024	0.115	-0.100
0.212	-0.113	0.170	5.500	-0.025	0.116	-0.100
0.220	-0.108	0.183	5.600	-0.026	0.116	-0.100
0.228	-0.103	0.197	5.700	-0.027	0.117	-0.100
0.236	-0.098	0.211	5.800	-0.028	0.118	-0.100
0.243	-0.093	0.225	5.900	-0.029	0.118	-0.100
0.251	-0.088	0.239	6.000	-0.031	0.119	-0.100
0.258	-0.082	0.253	6.100	-0.032	0.120	-0.100
0.266	-0.077	0.268	6.200	-0.033	0.121	-0.100
0.273	-0.071	0.284	6.300	-0.034	0.121	-0.100
0.280	-0.064	0.299	6.400	-0.035	0.122	-0.100
0.287	-0.058	0.315	6.500	-0.036	0.123	-0.100
0.294	-0.051	0.331	6.600	-0.037	0.123	-0.100
0.298	-0.073	0.316	0.025	-0.038	0.124	-0.098
0.288	-0.158	0.222	0.100	-0.036	0.123	-0.094
0.264	-0.246	0.112	0.175	-0.033	0.120	-0.090
0.227	-0.331	-0.004	0.250	-0.027	0.117	-0.086
0.175	-0.407	-0.119	0.325	-0.020	0.112	-0.083
0.109	-0.468	-0.223	0.400	-0.012	0.107	-0.081
0.029	-0.506	-0.308	0.475	-0.003	0.102	-0.080
-0.062	-0.520	-0.368	0.550	0.006	0.096	-0.080
-0.159	-0.508	-0.399	0.625	0.015	0.091	-0.082
-0.255	-0.471	-0.400	0.700	0.022	0.086	-0.084
-0.341	-0.415	-0.375	0.775	0.029	0.082	-0.087
-0.408	-0.346	-0.330	0.850	0.034	0.079	-0.091
-0.450	-0.268	-0.269	0.925	0.037	0.077	-0.095
-0.465	-0.188	-0.199	1.000	0.038	0.076	-0.100
-0.449	-0.188	-0.198	0.100	0.037	0.077	-0.100
-0.433	-0.188	-0.196	0.200	0.036	0.078	-0.100
-0.417	-0.188	-0.195	0.300	0.035	0.078	-0.100
-0.402	-0.188	-0.193	0.400	0.034	0.079	-0.100
-0.386	-0.188	-0.191	0.500	0.032	0.080	-0.100
-0.371	-0.188	-0.189	0.600	0.031	0.080	-0.100
-0.356	-0.188	-0.187	0.700	0.030	0.081	-0.100
-0.340	-0.188	-0.184	0.800	0.029	0.082	-0.100
-0.325	-0.188	-0.181	0.900	0.028	0.083	-0.100
-0.310	-0.188	-0.178	1.000	0.027	0.083	-0.100
-0.295	-0.188	-0.175	1.100	0.026	0.084	-0.100
-0.281	-0.187	-0.172	1.200	0.024	0.085	-0.100
-0.266	-0.187	-0.168	1.300	0.023	0.085	-0.100
-0.251	-0.187	-0.165	1.400	0.022	0.086	-0.100
-0.237	-0.187	-0.161	1.500	0.021	0.087	-0.100
-0.223	-0.187	-0.157	1.600	0.020	0.088	-0.100
-0.209	-0.187	-0.152	1.700	0.019	0.088	-0.100
-0.195	-0.186	-0.148	1.800	0.018	0.089	-0.100
-0.181	-0.186	-0.143	1.900	0.016	0.090	-0.100
-0.167	-0.186	-0.138	2.000	0.015	0.090	-0.100
-0.154	-0.185	-0.133	2.100	0.014	0.091	-0.100
-0.140	-0.185	-0.128	2.200	0.013	0.092	-0.100
-0.127	-0.184	-0.122	2.300	0.012	0.093	-0.100
-0.114	-0.183	-0.116	2.400	0.011	0.093	-0.100
-0.101	-0.183	-0.111	2.500	0.010	0.094	-0.100
-0.088	-0.182	-0.104	2.600	0.008	0.095	-0.100
-0.076	-0.181	-0.098	2.700	0.007	0.095	-0.100
-0.063	-0.180	-0.091	2.800	0.006	0.096	-0.100
-0.051	-0.179	-0.085	2.900	0.005	0.097	-0.100
-0.039	-0.178	-0.078	3.000	0.004	0.098	-0.100
-0.027	-0.177	-0.071	3.100	0.003	0.098	-0.100
-0.015	-0.176	-0.063	3.200	0.002	0.099	-0.100
-0.004	-0.174	-0.056	3.300	0.000	0.100	-0.100
0.008	-0.173	-0.048	3.400	-0.001	0.100	-0.100
0.019	-0.171	-0.040	3.500	-0.002	0.101	-0.100
0.030	-0.170	-0.031	3.600	-0.003	0.102	-0.100
0.041	-0.168	-0.023	3.700	-0.004	0.103	-0.100
0.052	-0.166	-0.014	3.800	-0.005	0.103	-0.100
0.062	-0.164	-0.005	3.900	-0.006	0.104	-0.100
0.073	-0.162	0.004	4.000	-0.008	0.105	-0.100
0.083	-0.159	0.013	4.100	-0.009	0.105	-0.100
0.093	-0.157	0.023	4.200	-0.010	0.106	-0.100
0.103	-0.154	0.033	4.300	-0.011	0.107	-0.100
0.113	-0.152	0.043	4.400	-0.012	0.108	-0.100
0.123	-0.149	0.053	4.500	-0.013	0.108	-0.100
0.132	-0.146	0.064	4.600	-0.015	0.109	-0.100
0.142	-0.143	0.075	4.700	-0.016	0.110	-0.100
0.151	-0.140	0.086	4.800	-0.017	0.110	-0.100
0.160	-0.136	0.097	4.900	-0.018	0.111	-0.100
0.169	-0.133	0.109	5.000	-0.019	0.112	-0.100
0.178	-0.129	0.120	5.100	-0.020	0.113	-0.100
0.186	-0.125	0.133	5.200	-0.021	0.113	-0.100
0.195	-0.121	0.145	5.300	-0.023	0.114	-0.100
0.203	-0.117	0.157	5.400	-0.024	0.115	-0.100
0.212	-0.113	0.170	5.500	-0.025	0.116	-0.100
0.220	-0.108	0.183	5.600	-0.026	0.116	-0.100
0.228	-0.103	0.197	5.700	-0.027	0.117	-0.100
0.236	-0.098	0.211	5.800	-0.028	0.118	-0.100
0.243	-0.093	0.225	5.900	-0.029	0.118	-0.100
0.251	-0.088	0.239	6.000	-0.031	0.119	-0.100
0.258	-0.082	0.253	6.100	-0.032	0.120	-0.100
0.266	-0.077	0.268	6.200	-0.033	0.121	-0.100
0.273	-0.071	0.284	6.300	-0.034	0.121	-0.100
0.280	-0.064	0.299	6.400	-0.035	0.122	-0.100
0.287	-0.058	0.315	6.500	-0.036	0.123	-0.100
0.294	-0.051	0.331	6.600	-0.037	0.123	-0.100
0.298	-0.073	0.316	0.025	-0.038	0.124	-0.098
0.288	-0.158	0.222	0.100	-0.036	0.123	-0.094
0.264	-0.246	0.112	0.175	-0.033	0.120	-0.090
0.227	-0.331	-0.004	0.250	-0.027	0.117	-0.086
0.175	-0.407	-0.119	0.325	-0.020	0.112	-0.083
0.109	-0.468	-0.223	0.400	-0.012	0.107	-0.081
0.029	-0.506	-0.308	0.475	-0.003	0.102	-0.080
-0.062	-0.520	-0.368	0.550	0.006	0.096	-0.080
-0.159	-0.508	-0.399	0.625	0.015	0.091	-0.082
-0.255	-0.471	-0.400	0.700	0.022	0.086	-0.084
-0.341	-0.415	-0.375	0.775	0.029	0.082	-0.087
-0.408	-0.346	-0.330	0.850	0.034	0.079	-0.091
-0.450	-0.268	-0.269	0.925	0.037	0.077	-0.095
-0.465	-0.188	-0.199	1.000	0.038	0.076	-0.100
-0.449	-0.188	-0.198	0.100	0.037	0.077	-0.100
-0.433	-0.188	-0.196	0.200	0.036	0.078	-0.100
-0.417	-0.188	-0.195	0.300	0.035	0.078	-0.100
-0.402	-0.188	-0.193	0.400	0.034	0.079	-0.100
-0.386	-0.188	-0.191	0.500	0.032	0.080	-0.100
-0.371	-0.188	-0.189	0.600	0.031	0.080	-0.100
-0.356	-0.188	-0.187	0.700	0.030	0.081	-0.100
-0.340	-0.188	-0.184	0.800	0.029	0.082	-0.100
-0.325	-0.188	-0.181	0.900	0.028	0.083	-0.100
-0.310	-0.188	-0.178	1.000	0.027	0.083	-0.100
-0.295	-0.188	-0.175	1.100	0.026	0.084	-0.100
-0.281	-0.187	-0.172	1.200	0.024	0.085	-0.100
-0.266	-0.187	-0.168	1.300	0.023	0.085	-0.100
-0.251	-0.187	-0.165	1.400	0.022	0.086	-0.100
-0.237	-0.187	-0.161	1.500	0.021	0.087	-0.100
-0.223	-0.187	-0.157	1.600	0.020	0.088	-0.100
-0.209	-0.187	-0.152	1.700	0.019	0.088	-0.100
-0.195	-0.186	-0.148	1.800	0.018	0.089	-0.100
-0.181	-0.186	-0.143	1.900	0.016	0.090	-0.100
-0.167	-0.186	-0.138	2.000	0.015	0.090	-0.100
-0.154	-0.185	-0.133	2.100	0.014	0.091	-0.100
-0.140	-0.185	-0.128	2.200	0.013	0.092	-0.100
-0.127	-0.184	-0.122	2.300	0.012	0.093	-0.100
-0.114	-0.183	-0.116	2.400	0.011	0.093	-0.100
-0.101	-0.183	-0.111	2.500	0.010	0.094	-0.100
-0.088	-0.182	-0.104	2.600	0.008	0.095	-0.100
-0.076	-0.181	-0.098	2.700	0.007	0.095	-0.100
-0.063	-0.180	-0.091	2.800	0.006	0.096	-0.100
-0.051	-0.179	-0.085	2.900	0.005	0.097	-0.100
-0.039	-0.178	-0.078	3.000	0.004	0.098	-0.100
-0.027	-0.177	-0.071	3.100	0.003	0.098	-0.100
-0.015	-0.176	-0.063	3.200	0.002	0.099	-0.100
-0.004	-0.174	-0.056	3.300	0.000	0.100	-0.100
0.008	-0.173	-0.048	3.400	-0.001	0.100	-0.100
0.019	-0.171	-0.040	3.500	-0.002	0.101	-0.100
0.030	-0.170	-0.031	3.600	-0.003	0.102	-0.100
0.041	-0.168	-0.023	3.700	-0.004	0.103	-0.100
0.052	-0.166	-0.014	3.800	-0.005	0.103	-0.100
0.062	-0.164	-0.005	3.900	-0.006	0.104	-0.100
0.062	-0.164	-0.005	3.900	-0.006	0.104	-0.100
0.073	-0.162	0.004	4.000	-0.008	0.105	-0.100
0.083	-0.159	0.013	4.100	-0.009	0.105	-0.100
0.093	-0.157	0.023	4.200	-0.010	0.106	-0.100
0.103	-0.154	0.033	4.300	-0.011	0.107	-0.100
0.113	-0.152	0.043	4.400	-0.012	0.108	-0.100
0.123	-0.149	0.053	4.500	-0.013	0.108	-0.100
0.132	-0.146	0.064	4.600	-0.015	0.109	-0.100
0.142	-0.143	0.075	4.700	-0.016	0.110	-0.100
0.151	-0.140	0.086	4.800	-0.017	0.110	-0.100
0.160	-0.136	0.097	4.900	-0.018	0.111	-0.100
0.169	-0.133	0.109	5.000	-0.019	0.112	-0.100
0.178	-0.129	0.120	5.100	-0.020	0.113	-0.100
0.186	-0.125	0.133	5.200	-0.021	0.113	-0.100
0.195	-0.121	0.145	5.300	-0.023	0.114	-0.100
0.203	-0.117	0.157	5.400	-0.024	0.115	-0.100
0.212	-0.113	0.170	5.500	-0.025	0.116	-0.100
0.220	-0.108	0.183	5.600	-0.026	0.116	-0.100
0.228	-0.103	0.197	5.700	-0.027	0.117	-0.100
0.236	-0.098	0.211	5.800	-0.028	0.118	-0.100
0.243	-0.093	0.225	5.900	-0.029	0.118	-0.100
0.251	-0.088	0.239	6.000	-0.031	0.119	-0.100
0.258	-0.082	0.253	6.100	-0.032	0.120	-0.100
0.266	-0.077	0.268	6.200	-0.033	0.121	-0.100
