0.400	8.000	80.000	0.000
0.400	8.000	80.000	0.100
0.450	8.000	80.000	0.200
0.500	8.000	80.000	0.300
0.550	8.000	80.000	0.400
0.650	8.000	80.000	0.500
0.700	8.000	80.000	0.600
0.700	8.000	80.000	0.700
0.750	8.000	80.000	0.800
0.800	8.000	80.000	0.900
0.850	8.000	80.000	1.000
0.950	8.000	80.000	1.100
1.000	8.000	80.000	1.200
1.050	8.000	80.000	1.300
1.100	8.000	80.000	1.400
1.100	8.000	80.000	1.500
1.150	8.000	80.000	1.600
1.200	8.000	80.000	1.700
1.250	8.000	80.000	1.800
1.300	8.000	80.000	1.900
1.350	8.000	80.000	2.000
1.400	8.000	80.000	2.100
1.400	8.000	80.000	2.200
1.450	8.000	80.000	2.300
1.450	8.000	80.000	2.400
1.500	8.000	80.000	2.500
1.550	8.000	80.000	2.600
1.600	8.000	80.000	2.700
1.650	8.000	80.000	2.800
1.650	8.000	80.000	2.900
1.700	8.000	80.000	3.000
1.750	8.000	80.000	3.100
1.750	8.000	80.000	3.200
1.800	8.000	80.000	3.300
1.850	8.000	80.000	3.400
1.900	8.000	80.000	3.500
1.950	8.000	80.000	3.600
2.000	8.000	80.000	3.700
2.050	8.000	80.000	3.800
2.100	8.000	80.000	3.900
2.150	8.000	80.000	4.000
2.200	8.000	80.000	4.100
2.200	8.000	80.000	4.200
2.250	8.000	80.000	4.300
2.300	8.000	80.000	4.400
2.300	8.000	80.000	4.500
2.350	8.000	80.000	4.600
2.400	8.000	80.000	4.700
2.400	8.000	80.000	4.800
2.450	8.000	80.000	4.900
2.500	8.000	80.000	5.000
2.500	8.000	80.000	5.100
2.550	8.000	80.000	5.200
2.550	8.000	80.000	5.300
2.600	8.000	80.000	5.400
2.600	8.000	80.000	5.500
2.650	8.000	80.000	5.600
2.700	8.000	80.000	5.700
2.750	8.000	80.000	5.800
2.800	8.000	80.000	5.900
2.800	8.000	80.000	6.000
2.850	8.000	80.000	6.100
2.900	8.000	80.000	6.200
2.900	8.000	80.000	6.300
2.950	8.000	80.000	6.400
3.000	8.000	80.000	6.500
3.000	8.000	80.000	6.600
3.050	8.000	80.000	6.700
3.050	8.000	80.000	6.800
3.100	8.000	80.000	6.900
3.100	8.000	80.000	7.000
3.150	8.000	80.000	7.100
3.150	8.000	80.000	7.200
3.200	8.000	80.000	7.300
3.250	8.000	80.000	7.400
3.250	8.000	80.000	7.500
3.300	8.000	80.000	7.600
3.350	8.000	80.000	7.700
3.350	8.000	80.000	7.800
3.400	8.000	80.000	7.900
3.450	8.000	80.000	8.000
3.450	8.000	80.000	0.100
3.550	8.000	80.000	0.200
3.550	8.000	80.000	0.300
3.600	8.000	80.000	0.400
3.600	8.000	80.000	0.500
3.650	8.000	80.000	0.600
3.700	8.000	80.000	0.700
3.750	8.000	80.000	0.800
3.800	8.000	80.000	0.900
3.800	8.000	80.000	1.000
3.850	8.000	80.000	1.100
3.850	8.000	80.000	1.200
3.900	8.000	80.000	1.300
3.950	8.000	80.000	1.400
4.000	8.000	80.000	1.500
4.000	8.000	80.000	1.600
4.050	8.000	80.000	1.700
4.100	8.000	80.000	1.800
4.100	8.000	80.000	1.900
4.150	8.000	80.000	2.000
