1	0.00775
2	0.00231
1	0.00219
2	0.01148
2	0.00557
2	0.00485
2	0.00903
1	0.00035
1	0.01265
1	0.00503
1	0.01105
1	0.00893
1	0.00974
1	0.00097
1	0.00714
1	0.00693
1	0.00168
1	0.00459
1	0.00287
1	0.00035
1	0.00838
1	0.01314
1	0.01495
1	0.00041
1	0.01091
1	0.01376
1	0.00473
1	0.00142
1	0.00738
4	0.00782
1	0.00367
1	0.01220
1	0.00655
1	0.00130
1	0.01289
1	0.00923
1	0.00805
1	0.00718
1	0.00870
1	0.00037
1	0.00658
2	0.00174
1	0.00011
1	0.00387
1	0.01214
1	0.00856
1	0.01195
1	0.00052
2	0.00350
1	0.00813
1	0.01203
1	0.01480
1	0.00191
1	0.00447
1	0.01120
1	0.00871
2	0.00556
1	0.01158
2	0.00356
1	0.00851
1	0.00211
3	0.00739
1	0.00207
3	0.00389
2	0.00098
3	0.00450
2	0.00030
5	0.00585
3	0.00104
5	0.01147
1	0.00989
1	0.00241
4	0.00674
5	0.00699
1	0.00068
