1	0.00536
3	0.00137
4	0.00633
2	0.00051
5	0.00520
1	0.00360
6	0.00665
2	0.00103
3	0.01239
4	0.00526
2	0.00040
1	0.00079
3	0.00270
5	0.00110
2	0.00078
1	0.00122
5	0.00515
6	0.00104
2	0.00913
3	0.00029
4	0.00256
4	0.00169
3	0.00618
5	0.00136
5	0.00566
3	0.00275
4	0.00203
1	0.00196
2	0.00591
5	0.00249
4	0.00057
4	0.00125
5	0.00084
1	0.00586
1	0.01037
2	0.00667
3	0.00237
4	0.00770
2	0.00293
5	0.00725
6	0.01294
4	0.00001
6	0.00135
2	0.00323
1	0.00366
5	0.00058
2	0.00986
6	0.00434
2	0.00532
3	0.00015
5	0.00150
2	0.00298
